Filename,Annot_Area,Pred_Area,Area_Diff,Area_Pct_Diff (%),Annot_Max_Feret,Pred_Max_Feret,Max_Feret_Diff,Max_Feret_Pct_Diff (%),Annot_Min_Feret,Pred_Min_Feret,Min_Feret_Diff,Min_Feret_Pct_Diff (%)
07-11-segment10_camera1_slot_0_frame_0000-0.png,2200,2435,235,10.68,59.94,64.66,4.72,7.87,51.21,52.73,1.52,2.97
07-11-segment10_camera1_slot_15_frame_0518-0.png,1324,1686,362,27.34,46.86,56.08,9.22,19.67,39.33,43.77,4.45,11.31
07-11-segment10_camera1_slot_16_frame_0546-0.png,1034,1206,172,16.63,40.5,42.43,1.93,4.76,34.0,35.36,1.36,3.99
07-11-segment10_camera2_slot_27_frame_0956-0.png,483,503,20,4.14,26.93,29.07,2.14,7.96,23.0,23.53,0.53,2.29
07-11-segment2_camera1_slot_16_frame_0246-0.png,1427,1628,201,14.09,48.55,53.85,5.3,10.92,39.85,43.83,3.97,9.97
07-11-segment4_camera2_slot_29_frame_0636-0.png,697,820,123,17.65,36.14,37.7,1.56,4.31,27.0,28.0,1.0,3.7
07-11-segment6_camera1_slot_16_frame_0344-0.png,1915,1687,-228,-11.91,57.22,51.4,-5.82,-10.17,47.0,43.68,-3.32,-7.06
07-11-segment6_camera2_slot_28_frame_0621-0.png,945,997,52,5.5,42.38,42.44,0.06,0.14,30.88,32.35,1.46,4.74
07-11-segment7_camera2_slot_23_frame_0499-0.png,893,422,-471,-52.74,45.49,26.4,-19.09,-41.96,26.9,19.23,-7.68,-28.54
07-11-segment7_camera2_slot_27_frame_0603-0.png,254,316,62,24.41,22.36,21.95,-0.41,-1.82,15.4,17.87,2.47,16.04
07-11-segment8_camera1_slot_15_frame_0300-0.png,479,641,162,33.82,28.02,30.89,2.87,10.24,22.0,26.7,4.7,21.35
07-11-segment8_camera1_slot_25_frame_0619-0.png,223,586,363,162.78,18.38,33.96,15.57,84.7,15.43,24.63,9.19,59.55
07-11-segment8_camera1_slot_5_frame_0103-0.png,821,906,85,10.35,36.62,37.34,0.72,1.96,32.0,31.37,-0.63,-1.96
07-11-segment8_camera2_slot_12_frame_0261-0.png,702,801,99,14.1,34.71,45.61,10.89,31.38,27.0,27.47,0.47,1.73
07-11-segment8_camera2_slot_21_frame_0518-0.png,908,889,-19,-2.09,44.38,42.72,-1.66,-3.75,32.91,31.61,-1.29,-3.93
07-11-segment9_camera1_slot_25_frame_0763-0.png,952,1175,223,23.42,38.08,44.15,6.07,15.94,32.0,34.36,2.36,7.37
07-11-segment9_camera1_slot_4_frame_0112-0.png,1349,1031,-318,-23.57,51.04,47.8,-3.24,-6.34,42.19,30.41,-11.78,-27.93
07-11-segment9_camera2_slot_6_frame_0147-0.png,585,524,-61,-10.43,31.62,29.55,-2.08,-6.57,25.22,23.85,-1.38,-5.45
07-11-segment9_camera2_slot_8_frame_0201-0.png,619,434,-185,-29.89,31.3,29.61,-1.69,-5.4,27.51,18.76,-8.75,-31.79
