Filename,Annot_Area,Pred_Area,Area_Diff,Area_Pct_Diff (%),Annot_Max_Feret,Pred_Max_Feret,Max_Feret_Diff,Max_Feret_Pct_Diff (%),Annot_Min_Feret,Pred_Min_Feret,Min_Feret_Diff,Min_Feret_Pct_Diff (%)
07-11-segment10_camera1_slot_0_frame_0000-0.png,2200,2323,123,5.59,59.94,65.86,5.91,9.87,51.21,53.92,2.71,5.28
07-11-segment10_camera1_slot_15_frame_0518-0.png,1324,1664,340,25.68,46.86,56.4,9.54,20.36,39.33,44.83,5.5,13.99
07-11-segment10_camera1_slot_16_frame_0546-0.png,1034,1100,66,6.38,40.5,42.06,1.56,3.86,34.0,35.36,1.36,3.99
07-11-segment10_camera2_slot_27_frame_0956-0.png,483,488,5,1.04,26.93,28.23,1.31,4.85,23.0,22.0,-1.0,-4.35
07-11-segment2_camera1_slot_16_frame_0246-0.png,1427,1367,-60,-4.2,48.55,44.78,-3.77,-7.77,39.85,40.0,0.15,0.36
07-11-segment4_camera2_slot_29_frame_0636-0.png,697,792,95,13.63,36.14,41.23,5.09,14.09,27.0,27.0,0.0,0.0
07-11-segment6_camera1_slot_16_frame_0344-0.png,1915,1659,-256,-13.37,57.22,51.86,-5.36,-9.37,47.0,46.37,-0.63,-1.33
07-11-segment6_camera2_slot_28_frame_0621-0.png,945,1064,119,12.59,42.38,42.72,0.34,0.8,30.88,33.93,3.04,9.86
07-11-segment7_camera2_slot_23_frame_0499-0.png,893,499,-394,-44.12,45.49,28.65,-16.83,-37.01,26.9,22.59,-4.31,-16.02
07-11-segment7_camera2_slot_27_frame_0603-0.png,254,381,127,50.0,22.36,23.6,1.24,5.55,15.4,20.73,5.33,34.63
07-11-segment8_camera1_slot_15_frame_0300-0.png,479,602,123,25.68,28.02,30.53,2.51,8.96,22.0,26.0,4.0,18.18
07-11-segment8_camera1_slot_25_frame_0619-0.png,223,678,455,204.04,18.38,37.58,19.19,104.39,15.43,24.55,9.11,59.05
07-11-segment8_camera1_slot_5_frame_0103-0.png,821,873,52,6.33,36.62,36.4,-0.22,-0.6,32.0,31.37,-0.63,-1.96
07-11-segment8_camera2_slot_12_frame_0261-0.png,702,662,-40,-5.7,34.71,32.7,-2.02,-5.81,27.0,24.91,-2.09,-7.75
07-11-segment8_camera2_slot_21_frame_0518-0.png,908,822,-86,-9.47,44.38,41.11,-3.28,-7.38,32.91,31.27,-1.64,-4.97
07-11-segment9_camera1_slot_25_frame_0763-0.png,952,1010,58,6.09,38.08,39.46,1.38,3.62,32.0,31.87,-0.13,-0.41
07-11-segment9_camera1_slot_4_frame_0112-0.png,1349,964,-385,-28.54,51.04,46.17,-4.87,-9.53,42.19,27.32,-14.87,-35.26
07-11-segment9_camera2_slot_6_frame_0147-0.png,585,534,-51,-8.72,31.62,30.36,-1.26,-3.98,25.22,23.81,-1.41,-5.59
07-11-segment9_camera2_slot_8_frame_0201-0.png,619,585,-34,-5.49,31.3,30.68,-0.63,-2.01,27.51,23.4,-4.11,-14.94
07-14-segment10_camera1_slot_16_frame_0352-0.png,4407,4156,-251,-5.7,84.91,83.63,-1.28,-1.5,75.58,68.31,-7.27,-9.61
07-14-segment10_camera1_slot_21_frame_0472-0.png,2606,2643,37,1.42,63.06,63.2,0.13,0.21,57.9,57.66,-0.24,-0.42
07-14-segment10_camera1_slot_5_frame_0109-0.png,953,797,-156,-16.37,49.48,42.43,-7.05,-14.25,37.31,26.39,-10.93,-29.29
07-14-segment10_camera2_slot_16_frame_0345-0.png,3276,3285,9,0.27,80.36,78.34,-2.02,-2.52,57.0,55.68,-1.32,-2.32
07-14-segment10_camera2_slot_17_frame_0361-0.png,3458,3333,-125,-3.61,77.2,72.01,-5.19,-6.73,63.0,63.0,0.0,0.0
07-14-segment10_camera2_slot_18_frame_0392-0.png,721,800,79,10.96,38.33,39.32,0.99,2.59,25.98,26.72,0.75,2.88
07-14-segment10_camera2_slot_24_frame_0539-0.png,1772,1871,99,5.59,55.71,57.71,1.99,3.58,44.41,45.66,1.25,2.82
07-14-segment10_camera2_slot_3_frame_0053-0.png,2862,2919,57,1.99,65.86,65.0,-0.86,-1.3,59.2,61.08,1.87,3.16
07-14-segment10_camera2_slot_5_frame_0098-0.png,1223,1139,-84,-6.87,47.93,47.13,-0.8,-1.67,34.64,31.0,-3.64,-10.52
07-14-segment1_camera1_slot_17_frame_0311-0.png,1583,1732,149,9.41,53.6,55.47,1.87,3.49,42.39,41.98,-0.41,-0.97
07-14-segment1_camera1_slot_21_frame_0381-0.png,4580,4381,-199,-4.34,89.29,85.87,-3.42,-3.83,73.54,68.87,-4.67,-6.35
07-14-segment1_camera1_slot_26_frame_0474-0.png,1072,884,-188,-17.54,50.25,39.96,-10.29,-20.47,29.69,28.0,-1.69,-5.68
07-14-segment1_camera1_slot_2_frame_0060-0.png,671,487,-184,-27.42,38.91,33.53,-5.38,-13.84,24.28,18.68,-5.6,-23.07
07-14-segment1_camera1_slot_2_frame_0060-1.png,1712,1672,-40,-2.34,52.24,54.33,2.09,4.01,43.62,40.0,-3.62,-8.31
07-14-segment1_camera1_slot_5_frame_0113-0.png,517,581,64,12.38,30.59,31.26,0.66,2.17,24.06,24.6,0.53,2.22
07-14-segment1_camera2_slot_10_frame_0185-0.png,1297,1480,183,14.11,47.41,47.85,0.44,0.93,39.33,40.98,1.65,4.21
07-14-segment1_camera2_slot_14_frame_0248-0.png,2159,1751,-408,-18.9,68.41,60.42,-8.0,-11.69,47.14,39.0,-8.14,-17.26
07-14-segment1_camera2_slot_14_frame_0248-1.png,1478,1528,50,3.38,48.88,51.11,2.23,4.56,42.54,41.6,-0.94,-2.21
07-14-segment1_camera2_slot_16_frame_0281-0.png,1910,1890,-20,-1.05,63.64,59.44,-4.2,-6.6,42.06,41.88,-0.19,-0.44
07-14-segment1_camera2_slot_24_frame_0428-0.png,2697,2754,57,2.11,67.6,67.36,-0.24,-0.35,57.84,58.69,0.85,1.47
07-14-segment1_camera2_slot_4_frame_0086-0.png,382,476,94,24.61,28.18,29.61,1.44,5.1,19.22,18.71,-0.51,-2.67
07-14-segment1_camera2_slot_8_frame_0152-0.png,1795,1689,-106,-5.91,60.21,53.01,-7.2,-11.96,45.0,45.0,0.0,0.0
07-14-segment1_camera2_slot_8_frame_0152-1.png,660,639,-21,-3.18,33.54,30.46,-3.08,-9.18,28.17,26.87,-1.3,-4.63
07-14-segment2_camera1_slot_0_frame_0000-0.png,948,820,-128,-13.5,37.48,35.36,-2.13,-5.68,32.26,28.89,-3.37,-10.44
07-14-segment2_camera1_slot_17_frame_0369-0.png,943,973,30,3.18,39.92,36.67,-3.25,-8.14,32.0,32.5,0.5,1.57
07-14-segment2_camera1_slot_19_frame_0424-0.png,268,371,103,38.43,23.09,24.04,0.95,4.14,16.09,19.78,3.69,22.96
07-14-segment2_camera1_slot_4_frame_0073-0.png,558,554,-4,-0.72,30.0,28.43,-1.57,-5.25,25.0,24.96,-0.04,-0.15
07-14-segment2_camera1_slot_7_frame_0124-0.png,1606,1659,53,3.3,52.81,51.97,-0.84,-1.59,41.52,43.67,2.15,5.17
07-14-segment2_camera2_slot_11_frame_0216-0.png,1496,1709,213,14.24,49.48,50.45,0.97,1.96,42.32,43.38,1.06,2.5
07-14-segment2_camera2_slot_12_frame_0248-0.png,1350,1468,118,8.74,46.32,48.41,2.09,4.51,40.53,40.92,0.39,0.96
07-14-segment2_camera2_slot_26_frame_0592-0.png,4492,4230,-262,-5.83,86.95,84.17,-2.78,-3.2,72.78,70.63,-2.16,-2.97
07-14-segment2_camera2_slot_3_frame_0050-0.png,3578,3320,-258,-7.21,81.74,74.67,-7.07,-8.65,61.9,58.77,-3.13,-5.05
07-14-segment2_camera2_slot_9_frame_0167-0.png,3101,3054,-47,-1.52,71.2,68.73,-2.47,-3.46,60.0,59.99,-0.01,-0.02
07-14-segment3_camera1_slot_13_frame_0267-0.png,1174,1022,-152,-12.95,44.94,41.87,-3.08,-6.84,35.0,34.0,-1.0,-2.86
07-14-segment3_camera1_slot_14_frame_0282-0.png,1470,1587,117,7.96,51.22,51.22,0.0,0.0,39.69,42.28,2.6,6.54
07-14-segment3_camera1_slot_15_frame_0305-0.png,787,791,4,0.51,44.94,43.46,-1.48,-3.3,24.95,22.85,-2.1,-8.41
07-14-segment3_camera1_slot_15_frame_0305-1.png,448,463,15,3.35,29.41,28.6,-0.81,-2.75,19.8,22.12,2.32,11.74
07-14-segment3_camera1_slot_2_frame_0040-0.png,548,449,-99,-18.07,32.98,26.48,-6.51,-19.73,23.33,22.0,-1.33,-5.72
07-14-segment3_camera1_slot_5_frame_0102-0.png,1919,1886,-33,-1.72,61.52,55.95,-5.58,-9.06,43.51,45.54,2.02,4.65
07-14-segment3_camera2_slot_11_frame_0239-0.png,1051,1084,33,3.14,49.93,49.73,-0.2,-0.4,34.29,27.46,-6.83,-19.92
07-14-segment3_camera2_slot_11_frame_0239-1.png,1823,1879,56,3.07,58.82,56.4,-2.42,-4.12,45.56,43.06,-2.5,-5.49
07-14-segment3_camera2_slot_18_frame_0380-0.png,1260,1362,102,8.1,50.33,48.55,-1.78,-3.54,35.0,36.95,1.95,5.56
07-14-segment3_camera2_slot_23_frame_0482-0.png,862,912,50,5.8,46.07,44.1,-1.96,-4.26,25.94,27.8,1.86,7.17
07-14-segment3_camera2_slot_28_frame_0576-0.png,927,915,-12,-1.29,42.72,49.04,6.32,14.8,33.54,30.76,-2.78,-8.28
07-14-segment3_camera2_slot_6_frame_0129-0.png,2348,2272,-76,-3.24,66.49,58.87,-7.62,-11.46,54.12,51.44,-2.69,-4.96
07-14-segment3_camera2_slot_6_frame_0129-1.png,1386,1423,37,2.67,46.1,48.47,2.37,5.14,40.0,38.5,-1.5,-3.74
07-14-segment4_camera1_slot_17_frame_0278-0.png,2826,2848,22,0.78,69.32,67.42,-1.9,-2.74,61.1,57.01,-4.09,-6.69
07-14-segment4_camera1_slot_19_frame_0307-0.png,987,1173,186,18.84,39.4,40.71,1.31,3.33,35.05,35.32,0.27,0.77
07-14-segment4_camera1_slot_21_frame_0336-0.png,2068,2096,28,1.35,56.3,57.43,1.13,2.0,50.02,49.64,-0.38,-0.77
07-14-segment4_camera2_slot_24_frame_0384-0.png,1588,1751,163,10.26,52.17,53.01,0.84,1.6,43.0,45.49,2.49,5.78
07-14-segment4_camera2_slot_25_frame_0402-0.png,898,820,-78,-8.69,37.95,35.13,-2.82,-7.43,31.16,29.22,-1.95,-6.24
07-14-segment4_camera2_slot_27_frame_0435-0.png,2099,2080,-19,-0.91,61.68,59.67,-2.02,-3.27,47.0,47.85,0.85,1.82
07-14-segment4_camera2_slot_28_frame_0450-0.png,3104,3058,-46,-1.48,71.06,71.7,0.64,0.9,60.72,59.7,-1.02,-1.67
07-14-segment4_camera2_slot_4_frame_0066-0.png,2283,2132,-151,-6.61,64.03,60.88,-3.15,-4.93,46.66,46.8,0.14,0.31
07-14-segment5_camera1_slot_11_frame_0143-0.png,2299,2385,86,3.74,65.25,63.35,-1.91,-2.92,50.63,53.9,3.27,6.45
07-14-segment5_camera1_slot_12_frame_0155-0.png,1136,1141,5,0.44,45.49,43.93,-1.55,-3.42,36.76,36.0,-0.76,-2.07
07-14-segment5_camera1_slot_13_frame_0171-0.png,1719,1454,-265,-15.42,57.28,51.86,-5.42,-9.47,43.0,39.64,-3.36,-7.82
07-14-segment5_camera1_slot_15_frame_0201-0.png,2074,1795,-279,-13.45,66.71,58.52,-8.18,-12.27,52.05,45.6,-6.45,-12.39
07-14-segment5_camera1_slot_9_frame_0117-0.png,3203,2993,-210,-6.56,72.18,71.06,-1.12,-1.55,61.16,59.08,-2.08,-3.41
07-14-segment5_camera2_slot_13_frame_0181-0.png,4850,4996,146,3.01,99.2,103.08,3.88,3.91,67.81,69.12,1.31,1.94
07-14-segment5_camera2_slot_15_frame_0213-0.png,1730,1556,-174,-10.06,56.32,52.63,-3.69,-6.55,39.96,40.08,0.12,0.31
07-14-segment5_camera2_slot_1_frame_0014-0.png,1073,1080,7,0.65,40.72,42.45,1.73,4.25,34.0,33.0,-1.0,-2.94
07-14-segment5_camera2_slot_23_frame_0339-0.png,2777,2761,-16,-0.58,68.88,66.71,-2.17,-3.15,54.79,55.94,1.15,2.1
07-14-segment5_camera2_slot_29_frame_0437-0.png,2657,2456,-201,-7.56,67.12,65.19,-1.93,-2.87,59.33,52.43,-6.9,-11.63
07-14-segment6_camera1_slot_12_frame_0172-0.png,663,809,146,22.02,34.37,34.01,-0.35,-1.02,26.16,24.0,-2.16,-8.27
07-14-segment6_camera1_slot_5_frame_0070-0.png,2026,1635,-391,-19.3,57.43,50.77,-6.65,-11.59,49.21,41.81,-7.4,-15.04
07-14-segment6_camera2_slot_14_frame_0218-0.png,1905,1844,-61,-3.2,57.01,54.78,-2.23,-3.91,45.66,42.85,-2.81,-6.16
07-14-segment6_camera2_slot_17_frame_0266-0.png,3681,2953,-728,-19.78,77.88,69.63,-8.24,-10.58,65.0,56.9,-8.1,-12.47
07-14-segment6_camera2_slot_25_frame_0400-0.png,1887,2006,119,6.31,58.69,61.85,3.15,5.37,44.12,44.43,0.31,0.7
07-14-segment6_camera2_slot_5_frame_0073-0.png,2892,2662,-230,-7.95,77.16,71.57,-5.59,-7.25,55.83,53.54,-2.29,-4.1
07-14-segment7_camera1_slot_12_frame_0165-0.png,2952,2547,-405,-13.72,76.84,68.6,-8.24,-10.72,60.34,53.75,-6.59,-10.92
07-14-segment7_camera1_slot_1_frame_0012-0.png,904,814,-90,-9.96,45.31,41.63,-3.68,-8.12,27.0,26.67,-0.33,-1.22
07-14-segment7_camera1_slot_20_frame_0311-0.png,3663,3572,-91,-2.48,80.52,79.08,-1.45,-1.8,61.0,59.71,-1.29,-2.11
07-14-segment7_camera1_slot_7_frame_0079-0.png,1469,1468,-1,-0.07,50.96,51.24,0.28,0.56,41.38,41.07,-0.31,-0.75
07-14-segment7_camera2_slot_24_frame_0398-0.png,1549,1542,-7,-0.45,52.5,51.74,-0.76,-1.44,42.47,41.51,-0.96,-2.27
07-14-segment7_camera2_slot_27_frame_0458-0.png,1721,1754,33,1.92,52.15,52.01,-0.14,-0.28,45.09,46.48,1.38,3.07
07-14-segment7_camera2_slot_4_frame_0059-0.png,4293,4904,611,14.23,89.89,89.69,-0.19,-0.22,68.43,70.34,1.91,2.79
07-14-segment7_camera2_slot_4_frame_0059-1.png,1082,913,-169,-15.62,45.28,42.44,-2.84,-6.27,33.42,28.99,-4.43,-13.25
07-14-segment7_camera2_slot_7_frame_0109-0.png,3136,2862,-274,-8.74,74.95,68.95,-6.0,-8.0,61.1,57.64,-3.46,-5.66
07-14-segment7_camera2_slot_9_frame_0140-0.png,3988,4171,183,4.59,81.22,79.51,-1.71,-2.11,65.96,72.72,6.76,10.24
07-14-segment8_camera1_slot_1_frame_0014-0.png,2199,1920,-279,-12.69,61.74,58.18,-3.56,-5.77,48.79,44.51,-4.28,-8.77
07-14-segment8_camera1_slot_27_frame_0427-0.png,2629,2220,-409,-15.56,67.62,58.18,-9.44,-13.96,55.91,51.99,-3.93,-7.02
07-14-segment8_camera1_slot_7_frame_0099-0.png,1594,1463,-131,-8.22,54.13,52.47,-1.66,-3.07,39.83,37.61,-2.23,-5.59
07-14-segment8_camera2_slot_0_frame_0000-0.png,1599,1383,-216,-13.51,55.95,47.85,-8.09,-14.46,38.72,38.51,-0.21,-0.55
07-14-segment8_camera2_slot_15_frame_0222-0.png,3012,3003,-9,-0.3,73.0,66.12,-6.88,-9.42,61.77,59.09,-2.67,-4.33
07-14-segment8_camera2_slot_21_frame_0310-0.png,3793,3702,-91,-2.4,80.95,79.32,-1.63,-2.01,69.21,66.68,-2.53,-3.66
07-14-segment8_camera2_slot_27_frame_0436-0.png,2484,2413,-71,-2.86,66.89,67.68,0.79,1.18,57.42,51.72,-5.7,-9.93
07-14-segment8_camera2_slot_9_frame_0139-0.png,1799,1837,38,2.11,53.6,54.63,1.03,1.91,46.35,45.63,-0.72,-1.55
07-14-segment9_camera1_slot_10_frame_0145-0.png,2832,2805,-27,-0.95,70.83,70.34,-0.49,-0.69,55.44,56.0,0.56,1.0
07-14-segment9_camera1_slot_17_frame_0254-0.png,1615,1437,-178,-11.02,50.99,47.8,-3.19,-6.25,42.49,39.7,-2.78,-6.56
07-14-segment9_camera1_slot_5_frame_0076-0.png,2419,2419,0,0.0,65.46,64.85,-0.61,-0.94,53.78,52.39,-1.39,-2.58
07-14-segment9_camera2_slot_0_frame_0000-0.png,3473,3433,-40,-1.15,75.93,72.95,-2.98,-3.93,64.86,64.06,-0.79,-1.22
07-14-segment9_camera2_slot_19_frame_0289-0.png,4799,4910,111,2.31,92.11,93.47,1.36,1.47,77.0,76.0,-1.0,-1.3
07-14-segment9_camera2_slot_23_frame_0347-0.png,3181,2952,-229,-7.2,76.94,72.5,-4.44,-5.77,58.0,56.91,-1.09,-1.87
07-14-segment9_camera2_slot_25_frame_0383-0.png,2189,1708,-481,-21.97,60.31,52.61,-7.7,-12.76,49.32,42.38,-6.93,-14.06
07-14-segment9_camera2_slot_3_frame_0049-0.png,3167,2570,-597,-18.85,72.95,63.6,-9.34,-12.81,61.8,51.86,-9.94,-16.08
07-14-segment9_camera2_slot_4_frame_0064-0.png,2570,2485,-85,-3.31,69.63,72.42,2.79,4.0,51.77,49.64,-2.14,-4.13
07-16-segment10_camera2_slot_12_frame_0241-0.png,4795,5239,444,9.26,92.05,97.42,5.37,5.83,82.15,81.41,-0.73,-0.89
07-16-segment10_camera2_slot_2_frame_0029-0.png,10790,8690,-2100,-19.46,143.84,122.97,-20.87,-14.51,98.99,96.13,-2.86,-2.88
07-16-segment10_camera2_slot_9_frame_0168-0.png,2905,3309,404,13.91,76.94,72.4,-4.54,-5.9,61.0,63.0,2.0,3.28
07-16-segment1_camera1_slot_12_frame_0205-0.png,3728,2828,-900,-24.14,81.84,68.62,-13.22,-16.15,66.2,58.08,-8.11,-12.26
07-16-segment1_camera1_slot_20_frame_0310-0.png,7982,7728,-254,-3.18,115.55,114.27,-1.28,-1.11,101.83,98.8,-3.03,-2.97
07-16-segment1_camera1_slot_22_frame_0347-0.png,8136,7827,-309,-3.8,125.96,125.2,-0.76,-0.61,102.19,90.09,-12.1,-11.84
07-16-segment1_camera1_slot_25_frame_0412-0.png,3407,3245,-162,-4.75,75.5,75.8,0.3,0.39,63.27,61.97,-1.3,-2.05
07-16-segment1_camera1_slot_9_frame_0161-0.png,7446,7247,-199,-2.67,110.05,112.45,2.4,2.18,87.37,86.66,-0.72,-0.82
07-16-segment1_camera2_slot_20_frame_0312-0.png,4150,4081,-69,-1.66,88.57,81.15,-7.41,-8.37,71.39,70.11,-1.28,-1.8
07-16-segment1_camera2_slot_28_frame_0468-0.png,3735,3669,-66,-1.77,83.87,84.29,0.42,0.5,65.0,62.74,-2.26,-3.48
07-16-segment1_camera2_slot_29_frame_0481-0.png,2080,1980,-100,-4.81,56.04,53.85,-2.19,-3.91,50.05,47.6,-2.45,-4.89
07-16-segment1_camera2_slot_5_frame_0097-0.png,1143,1223,80,7.0,59.46,56.3,-3.16,-5.32,31.73,28.68,-3.05,-9.62
07-16-segment1_camera2_slot_6_frame_0112-0.png,4807,3899,-908,-18.89,98.49,79.4,-19.08,-19.38,80.33,66.67,-13.65,-16.99
07-16-segment1_camera2_slot_6_frame_0112-1.png,1807,1921,114,6.31,56.08,55.79,-0.29,-0.53,46.82,46.03,-0.79,-1.68
07-16-segment1_camera2_slot_8_frame_0145-0.png,3513,3741,228,6.49,85.42,82.08,-3.34,-3.91,63.38,64.69,1.31,2.07
07-16-segment2_camera1_slot_11_frame_0175-0.png,7788,7847,59,0.76,117.9,114.24,-3.67,-3.11,100.53,100.28,-0.26,-0.25
07-16-segment2_camera1_slot_12_frame_0185-0.png,4204,4290,86,2.05,113.16,111.29,-1.87,-1.65,58.7,58.39,-0.31,-0.53
07-16-segment2_camera1_slot_12_frame_0185-1.png,2773,2610,-163,-5.88,66.94,66.76,-0.18,-0.27,55.33,53.13,-2.19,-3.97
07-16-segment2_camera1_slot_18_frame_0263-0.png,2732,2680,-52,-1.9,82.23,80.23,-1.99,-2.43,46.2,44.03,-2.17,-4.69
07-16-segment2_camera1_slot_25_frame_0356-0.png,6246,5869,-377,-6.04,110.07,104.17,-5.9,-5.36,88.97,87.39,-1.58,-1.78
07-16-segment2_camera1_slot_9_frame_0150-0.png,5142,4666,-476,-9.26,99.61,101.27,1.66,1.67,69.22,67.52,-1.71,-2.46
07-16-segment2_camera2_slot_10_frame_0147-0.png,1458,1237,-221,-15.16,52.8,47.42,-5.38,-10.19,40.22,33.97,-6.25,-15.54
07-16-segment2_camera2_slot_10_frame_0147-1.png,5297,5188,-109,-2.06,99.16,96.17,-2.99,-3.02,74.86,73.77,-1.09,-1.45
07-16-segment2_camera2_slot_16_frame_0226-0.png,5461,5572,111,2.03,101.98,100.22,-1.76,-1.72,86.14,84.45,-1.69,-1.96
07-16-segment2_camera2_slot_16_frame_0226-1.png,719,789,70,9.74,34.48,35.85,1.37,3.96,27.38,28.86,1.48,5.42
07-16-segment2_camera2_slot_18_frame_0256-0.png,3830,5256,1426,37.23,84.12,80.5,-3.62,-4.3,69.58,67.29,-2.3,-3.3
07-16-segment2_camera2_slot_1_frame_0012-0.png,2866,2537,-329,-11.48,74.81,69.08,-5.73,-7.66,60.0,48.04,-11.96,-19.93
07-16-segment2_camera2_slot_22_frame_0306-0.png,2131,2171,40,1.88,62.68,61.06,-1.62,-2.59,50.2,46.0,-4.2,-8.37
07-16-segment2_camera2_slot_22_frame_0306-1.png,4047,3786,-261,-6.45,82.97,77.9,-5.07,-6.11,74.68,69.75,-4.93,-6.6
07-16-segment2_camera2_slot_8_frame_0120-0.png,6242,6531,289,4.63,97.98,101.71,3.73,3.8,87.35,84.98,-2.37,-2.71
07-16-segment3_camera1_slot_11_frame_0183-0.png,876,724,-152,-17.35,38.9,35.17,-3.73,-9.58,32.03,27.04,-5.0,-15.6
07-16-segment3_camera1_slot_20_frame_0256-0.png,1372,1623,251,18.29,46.07,51.26,5.2,11.29,40.76,40.14,-0.63,-1.54
07-16-segment3_camera1_slot_27_frame_0300-0.png,803,833,30,3.74,38.48,39.85,1.37,3.55,32.0,26.13,-5.87,-18.35
07-16-segment3_camera1_slot_28_frame_0315-0.png,4451,4534,83,1.86,90.47,88.96,-1.52,-1.68,72.31,73.88,1.57,2.17
07-16-segment3_camera1_slot_28_frame_0315-1.png,1054,942,-112,-10.63,46.23,41.62,-4.61,-9.97,34.0,30.55,-3.45,-10.15
07-16-segment3_camera1_slot_6_frame_0101-0.png,2647,2431,-216,-8.16,68.01,60.9,-7.11,-10.46,57.06,54.54,-2.52,-4.41
07-16-segment3_camera2_slot_12_frame_0139-0.png,3404,3288,-116,-3.41,78.24,69.29,-8.95,-11.44,62.72,61.3,-1.42,-2.26
07-16-segment3_camera2_slot_24_frame_0274-0.png,2478,2099,-379,-15.29,63.13,57.28,-5.85,-9.27,51.0,48.0,-3.0,-5.88
07-16-segment3_camera2_slot_26_frame_0297-0.png,5817,5727,-90,-1.55,96.03,95.13,-0.89,-0.93,87.21,84.71,-2.5,-2.87
07-16-segment3_camera2_slot_8_frame_0092-0.png,5078,5279,201,3.96,97.98,98.27,0.29,0.29,76.82,76.65,-0.17,-0.22
07-16-segment4_camera1_slot_18_frame_0245-0.png,2518,2489,-29,-1.15,65.86,65.51,-0.35,-0.53,55.99,53.73,-2.26,-4.03
07-16-segment4_camera1_slot_1_frame_0025-0.png,1920,1748,-172,-8.96,57.38,53.71,-3.67,-6.4,45.68,44.0,-1.68,-3.68
07-16-segment4_camera1_slot_25_frame_0332-0.png,1821,1867,46,2.53,53.81,53.6,-0.21,-0.4,47.0,46.0,-1.0,-2.13
07-16-segment4_camera1_slot_7_frame_0101-0.png,6301,6040,-261,-4.14,106.47,94.83,-11.64,-10.94,89.71,88.0,-1.71,-1.91
07-16-segment4_camera1_slot_8_frame_0116-0.png,3066,2883,-183,-5.97,72.07,64.9,-7.17,-9.95,57.64,56.98,-0.66,-1.14
07-16-segment4_camera2_slot_11_frame_0138-0.png,7005,7099,94,1.34,117.96,120.6,2.64,2.24,95.71,92.73,-2.99,-3.12
07-16-segment4_camera2_slot_16_frame_0209-0.png,7369,7525,156,2.12,122.38,118.6,-3.78,-3.09,103.72,101.0,-2.72,-2.62
07-16-segment4_camera2_slot_19_frame_0249-0.png,3696,3473,-223,-6.03,83.86,72.56,-11.3,-13.48,65.05,66.14,1.09,1.68
07-16-segment4_camera2_slot_23_frame_0304-0.png,4184,3792,-392,-9.37,91.01,80.5,-10.5,-11.54,65.71,61.49,-4.23,-6.43
07-16-segment4_camera2_slot_3_frame_0035-0.png,5394,5500,106,1.97,98.62,98.41,-0.2,-0.21,81.35,80.01,-1.34,-1.64
07-16-segment5_camera1_slot_15_frame_0187-0.png,4712,4625,-87,-1.85,91.3,90.08,-1.22,-1.34,75.3,72.12,-3.17,-4.21
07-16-segment5_camera1_slot_26_frame_0332-0.png,3570,3380,-190,-5.32,84.17,81.49,-2.68,-3.18,61.98,60.09,-1.89,-3.05
07-16-segment5_camera1_slot_28_frame_0356-0.png,7014,6555,-459,-6.54,109.02,110.72,1.71,1.57,92.1,91.16,-0.94,-1.02
07-16-segment5_camera1_slot_2_frame_0026-0.png,4151,4310,159,3.83,96.51,86.47,-10.04,-10.4,72.25,72.54,0.3,0.41
07-16-segment5_camera1_slot_5_frame_0067-0.png,4419,4368,-51,-1.15,91.39,88.96,-2.43,-2.66,67.83,66.0,-1.83,-2.69
07-16-segment5_camera2_slot_0_frame_0000-0.png,4430,4521,91,2.05,89.87,89.31,-0.56,-0.63,74.76,76.14,1.38,1.85
07-16-segment5_camera2_slot_11_frame_0275-0.png,4835,5125,290,6.0,91.76,94.2,2.44,2.66,79.58,80.43,0.85,1.07
07-16-segment5_camera2_slot_25_frame_0638-0.png,4663,4412,-251,-5.38,101.83,97.19,-4.64,-4.56,75.99,72.7,-3.3,-4.34
07-16-segment5_camera2_slot_25_frame_0638-1.png,5011,5417,406,8.1,102.65,100.9,-1.75,-1.71,82.0,86.71,4.71,5.74
07-16-segment5_camera2_slot_26_frame_0665-0.png,5548,5623,75,1.35,98.18,98.6,0.42,0.42,83.74,82.37,-1.37,-1.63
07-16-segment5_camera2_slot_3_frame_0072-0.png,1854,1579,-275,-14.83,60.73,56.08,-4.65,-7.65,46.8,40.73,-6.07,-12.96
07-16-segment5_camera2_slot_5_frame_0125-0.png,2894,3072,178,6.15,77.93,73.16,-4.77,-6.11,52.37,56.0,3.63,6.94
