Filename,Annot_Area,Pred_Area,Area_Diff,Area_Pct_Diff (%),Annot_Max_Feret,Pred_Max_Feret,Max_Feret_Diff,Max_Feret_Pct_Diff (%),Annot_Min_Feret,Pred_Min_Feret,Min_Feret_Diff,Min_Feret_Pct_Diff (%)
07-11-segment10_camera1_slot_0_frame_0000-0.png,2200,2425,225,10.23,59.94,71.59,11.65,19.43,51.21,53.72,2.51,4.9
07-11-segment10_camera1_slot_15_frame_0518-0.png,1324,1840,516,38.97,46.86,58.01,11.15,23.79,39.33,47.4,8.08,20.54
07-11-segment10_camera1_slot_16_frame_0546-0.png,1034,1148,114,11.03,40.5,42.01,1.51,3.74,34.0,36.0,2.0,5.88
07-11-segment10_camera2_slot_27_frame_0956-0.png,483,519,36,7.45,26.93,29.07,2.14,7.96,23.0,23.0,0.0,0.0
07-11-segment2_camera1_slot_16_frame_0246-0.png,1427,1392,-35,-2.45,48.55,45.22,-3.33,-6.85,39.85,39.99,0.14,0.34
07-11-segment4_camera2_slot_29_frame_0636-0.png,697,812,115,16.5,36.14,34.54,-1.6,-4.42,27.0,28.94,1.94,7.2
07-11-segment6_camera1_slot_16_frame_0344-0.png,1915,1518,-397,-20.73,57.22,49.04,-8.18,-14.29,47.0,43.34,-3.66,-7.78
07-11-segment6_camera2_slot_28_frame_0621-0.png,945,1117,172,18.2,42.38,42.44,0.06,0.14,30.88,34.0,3.12,10.09
07-11-segment7_camera2_slot_23_frame_0499-0.png,893,479,-414,-46.36,45.49,27.78,-17.7,-38.92,26.9,21.02,-5.88,-21.87
07-11-segment7_camera2_slot_27_frame_0603-0.png,254,432,178,70.08,22.36,25.24,2.88,12.87,15.4,21.73,6.33,41.09
07-11-segment8_camera1_slot_15_frame_0300-0.png,479,654,175,36.53,28.02,31.4,3.38,12.07,22.0,25.0,3.0,13.64
07-11-segment8_camera1_slot_25_frame_0619-0.png,223,843,620,278.03,18.38,41.48,23.1,125.65,15.43,25.86,10.42,67.54
07-11-segment8_camera1_slot_5_frame_0103-0.png,821,886,65,7.92,36.62,35.85,-0.77,-2.11,32.0,31.49,-0.51,-1.61
07-11-segment8_camera2_slot_12_frame_0261-0.png,702,918,216,30.77,34.71,43.42,8.7,25.07,27.0,30.27,3.27,12.1
07-11-segment8_camera2_slot_21_frame_0518-0.png,908,896,-12,-1.32,44.38,41.48,-2.9,-6.53,32.91,31.6,-1.31,-3.98
07-11-segment9_camera1_slot_25_frame_0763-0.png,952,1064,112,11.76,38.08,40.79,2.71,7.13,32.0,33.49,1.49,4.65
07-11-segment9_camera1_slot_4_frame_0112-0.png,1349,1187,-162,-12.01,51.04,47.2,-3.84,-7.52,42.19,31.55,-10.64,-25.21
07-11-segment9_camera2_slot_6_frame_0147-0.png,585,594,9,1.54,31.62,31.62,0.0,0.0,25.22,25.31,0.09,0.37
07-11-segment9_camera2_slot_8_frame_0201-0.png,619,638,19,3.07,31.3,32.28,0.98,3.11,27.51,24.55,-2.96,-10.76
07-14-segment10_camera1_slot_16_frame_0352-0.png,4407,4282,-125,-2.84,84.91,82.98,-1.93,-2.27,75.58,69.11,-6.47,-8.56
07-14-segment10_camera1_slot_21_frame_0472-0.png,2606,2648,42,1.61,63.06,62.51,-0.55,-0.87,57.9,56.57,-1.33,-2.3
07-14-segment10_camera1_slot_5_frame_0109-0.png,953,719,-234,-24.55,49.48,38.47,-11.01,-22.25,37.31,24.18,-13.13,-35.19
07-14-segment10_camera2_slot_16_frame_0345-0.png,3276,3402,126,3.85,80.36,78.34,-2.02,-2.52,57.0,57.18,0.18,0.32
07-14-segment10_camera2_slot_17_frame_0361-0.png,3458,3259,-199,-5.75,77.2,69.12,-8.09,-10.47,63.0,62.0,-1.0,-1.59
07-14-segment10_camera2_slot_18_frame_0392-0.png,721,814,93,12.9,38.33,38.9,0.57,1.49,25.98,26.67,0.7,2.68
07-14-segment10_camera2_slot_24_frame_0539-0.png,1772,1838,66,3.72,55.71,55.54,-0.17,-0.31,44.41,44.6,0.19,0.44
07-14-segment10_camera2_slot_3_frame_0053-0.png,2862,2970,108,3.77,65.86,65.3,-0.56,-0.85,59.2,60.85,1.65,2.78
07-14-segment10_camera2_slot_5_frame_0098-0.png,1223,1238,15,1.23,47.93,47.27,-0.66,-1.38,34.64,32.9,-1.74,-5.03
07-14-segment1_camera1_slot_17_frame_0311-0.png,1583,1741,158,9.98,53.6,56.22,2.62,4.89,42.39,42.93,0.54,1.28
07-14-segment1_camera1_slot_21_frame_0381-0.png,4580,4195,-385,-8.41,89.29,84.53,-4.76,-5.33,73.54,66.8,-6.74,-9.17
07-14-segment1_camera1_slot_26_frame_0474-0.png,1072,1050,-22,-2.05,50.25,46.1,-4.15,-8.26,29.69,28.26,-1.42,-4.79
07-14-segment1_camera1_slot_2_frame_0060-0.png,671,495,-176,-26.23,38.91,33.02,-5.9,-15.15,24.28,19.31,-4.97,-20.47
07-14-segment1_camera1_slot_2_frame_0060-1.png,1712,1825,113,6.6,52.24,55.36,3.12,5.98,43.62,42.0,-1.62,-3.72
07-14-segment1_camera1_slot_5_frame_0113-0.png,517,645,128,24.76,30.59,31.4,0.81,2.64,24.06,26.0,1.94,8.05
