epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1091,0.44235,0.47985,0.20589,0.77524,0.95075,0.23012,0.29619,0,0.000543587,0.000543587,0.000543587
2,131.798,0.12935,0.2445,0.08346,0.79417,0.95658,0.34127,0.17804,0,0.00104484,0.00104484,0.00104484
3,196.845,0.07436,0.14516,0.05138,0.89362,0.98221,0.06788,0.09518,0,0.00149108,0.00149108,0.00149108
4,260.09,0.04903,0.09781,0.03269,0.92395,0.98829,0.03787,0.06423,0,0.00141945,0.00141945,0.00141945
5,322.188,0.03973,0.07238,0.02313,0.92662,0.98865,0.0334,0.05418,0,0.00133693,0.00133693,0.00133693
6,384.579,0.04233,0.06815,0.02013,0.93241,0.98995,0.03093,0.04872,0,0.00125442,0.00125442,0.00125442
7,446.66,0.03094,0.05571,0.01532,0.92816,0.98887,0.03274,0.0503,0,0.0011719,0.0011719,0.0011719
8,508.906,0.03548,0.05527,0.01557,0.9344,0.99015,0.03036,0.04892,0,0.00108938,0.00108938,0.00108938
9,571.171,0.03179,0.05193,0.01436,0.93661,0.99057,0.02847,0.0443,0,0.00100687,0.00100687,0.00100687
10,642.759,0.03304,0.0477,0.01345,0.93925,0.99092,0.02865,0.04021,0,0.000924352,0.000924352,0.000924352
11,730.489,0.05776,0.05139,0.01996,0.93781,0.99065,0.02881,0.04103,0,0.000841835,0.000841835,0.000841835
12,790.798,0.04578,0.04456,0.01704,0.93137,0.98944,0.03189,0.0454,0,0.000759318,0.000759318,0.000759318
13,852.184,0.03753,0.04243,0.01525,0.93046,0.98939,0.03228,0.04512,0,0.000676802,0.000676802,0.000676802
14,914.134,0.03807,0.04183,0.01509,0.93894,0.99079,0.02513,0.04092,0,0.000594286,0.000594286,0.000594286
15,976.937,0.03902,0.04235,0.01541,0.93864,0.99089,0.0257,0.0416,0,0.000511769,0.000511769,0.000511769
16,1041.4,0.03471,0.03957,0.01411,0.94237,0.9913,0.02386,0.03998,0,0.000429253,0.000429253,0.000429253
17,1106.04,0.03281,0.03917,0.01326,0.94328,0.99163,0.02453,0.03854,0,0.000346736,0.000346736,0.000346736
18,1170.74,0.03556,0.03818,0.01403,0.94525,0.99181,0.02369,0.03783,0,0.00026422,0.00026422,0.00026422
19,1234.05,0.03238,0.03673,0.01299,0.94481,0.99182,0.02433,0.03752,0,0.000181703,0.000181703,0.000181703
20,1299.04,0.03061,0.03565,0.01252,0.94534,0.99186,0.02388,0.03721,0,9.91865e-05,9.91865e-05,9.91865e-05
