epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2593,0.43419,0.46724,0.21105,0.68349,0.91259,0.31963,0.32708,0,0.000543587,0.000543587,0.000543587
2,131.055,0.12139,0.23813,0.0848,0.79432,0.95702,0.34082,0.16792,0,0.00104484,0.00104484,0.00104484
3,194.7,0.06592,0.13403,0.04874,0.90273,0.9842,0.06832,0.08663,0,0.00149108,0.00149108,0.00149108
4,258.038,0.04782,0.09046,0.03221,0.91471,0.98776,0.05534,0.06818,0,0.00141945,0.00141945,0.00141945
5,321.855,0.04647,0.07666,0.02574,0.93438,0.9901,0.03328,0.04957,0,0.00133693,0.00133693,0.00133693
6,385.46,0.03998,0.06679,0.02078,0.91212,0.98597,0.04582,0.05967,0,0.00125442,0.00125442,0.00125442
7,448.631,0.04,0.06625,0.01856,0.929,0.98921,0.0413,0.05003,0,0.0011719,0.0011719,0.0011719
8,511.939,0.03414,0.05541,0.0161,0.9252,0.98904,0.07589,0.07313,0,0.00108938,0.00108938,0.00108938
9,575.306,0.0296,0.04711,0.01335,0.93386,0.99045,0.05372,0.05211,0,0.00100687,0.00100687,0.00100687
10,638.885,0.0292,0.04922,0.01289,0.93111,0.9901,0.04533,0.05094,0,0.000924352,0.000924352,0.000924352
11,725.998,0.06406,0.05391,0.0237,0.94159,0.99142,0.03006,0.04011,0,0.000841835,0.000841835,0.000841835
12,785.087,0.04314,0.04692,0.01706,0.94046,0.99106,0.02844,0.04279,0,0.000759318,0.000759318,0.000759318
13,844.192,0.03834,0.03906,0.01515,0.94389,0.99175,0.02731,0.03972,0,0.000676802,0.000676802,0.000676802
14,903.333,0.03607,0.03858,0.0145,0.94389,0.99163,0.02492,0.0374,0,0.000594286,0.000594286,0.000594286
15,962.445,0.03424,0.03749,0.01382,0.94632,0.99215,0.02412,0.03562,0,0.000511769,0.000511769,0.000511769
16,1021.82,0.03346,0.03623,0.01351,0.94549,0.99207,0.02541,0.03579,0,0.000429253,0.000429253,0.000429253
17,1080.89,0.03213,0.03506,0.01314,0.94578,0.99203,0.02558,0.03715,0,0.000346736,0.000346736,0.000346736
18,1139.51,0.03095,0.03456,0.01268,0.94673,0.99223,0.02468,0.03684,0,0.00026422,0.00026422,0.00026422
19,1197.77,0.03066,0.03424,0.01264,0.94553,0.99205,0.02727,0.03872,0,0.000181703,0.000181703,0.000181703
20,1256.18,0.03049,0.0334,0.01265,0.94586,0.99207,0.02675,0.03824,0,9.91865e-05,9.91865e-05,9.91865e-05
