epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,74.1912,0.4337,0.46744,0.21072,0.68104,0.91138,0.32567,0.32906,0,0.000543587,0.000543587,0.000543587
2,143.886,0.11868,0.23655,0.08364,0.79796,0.95817,0.34172,0.16454,0,0.00104484,0.00104484,0.00104484
3,214.176,0.06249,0.13079,0.04772,0.90516,0.98484,0.07007,0.08659,0,0.00149108,0.00149108,0.00149108
4,285.237,0.04423,0.08684,0.03128,0.92221,0.98872,0.05266,0.06238,0,0.00141945,0.00141945,0.00141945
5,356.154,0.03781,0.06772,0.023,0.93694,0.99071,0.03496,0.04991,0,0.00133693,0.00133693,0.00133693
6,427.935,0.02911,0.05421,0.017,0.93582,0.99046,0.03729,0.04615,0,0.00125442,0.00125442,0.00125442
7,499.814,0.02973,0.05157,0.01477,0.92969,0.9897,0.03936,0.0477,0,0.0011719,0.0011719,0.0011719
8,572.039,0.03077,0.05044,0.01448,0.92509,0.98889,0.04533,0.05062,0,0.00108938,0.00108938,0.00108938
9,644.193,0.0259,0.04426,0.01204,0.93362,0.99033,0.04527,0.04843,0,0.00100687,0.00100687,0.00100687
10,716.091,0.02445,0.04301,0.01106,0.94108,0.99142,0.03002,0.0371,0,0.000924352,0.000924352,0.000924352
11,808.013,0.05329,0.045,0.01958,0.93521,0.99066,0.03535,0.04092,0,0.000841835,0.000841835,0.000841835
12,874.619,0.03643,0.03942,0.01444,0.93979,0.99099,0.02636,0.04028,0,0.000759318,0.000759318,0.000759318
13,941.918,0.03381,0.03465,0.01323,0.93791,0.99071,0.02813,0.04051,0,0.000676802,0.000676802,0.000676802
14,1009.58,0.02892,0.03276,0.01206,0.9419,0.99147,0.02755,0.03726,0,0.000594286,0.000594286,0.000594286
15,1074.94,0.03028,0.03304,0.01226,0.93971,0.99118,0.02973,0.03903,0,0.000511769,0.000511769,0.000511769
16,1141.72,0.02833,0.0313,0.0116,0.94015,0.99131,0.0284,0.03669,0,0.000429253,0.000429253,0.000429253
17,1209.38,0.02768,0.03058,0.01119,0.94136,0.99126,0.02763,0.03635,0,0.000346736,0.000346736,0.000346736
18,1277.95,0.02587,0.0293,0.01048,0.94361,0.99178,0.02655,0.03489,0,0.00026422,0.00026422,0.00026422
19,1346.92,0.02501,0.02876,0.01037,0.94319,0.99167,0.02639,0.03501,0,0.000181703,0.000181703,0.000181703
20,1416.54,0.02535,0.02869,0.01047,0.94202,0.99155,0.02796,0.03585,0,9.91865e-05,9.91865e-05,9.91865e-05
